dataset,category,image_id,image_path,target_path
HZ-135,Thin,001.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\001.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\001.png
HZ-135,Thin,002.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\002.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\002.png
HZ-135,Thin,003.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\003.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\003.png
HZ-135,Thin,004.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\004.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\004.png
HZ-135,Thin,005.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\005.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\005.png
HZ-135,Thin,006.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\006.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\006.png
HZ-135,Thin,007.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\007.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\007.png
HZ-135,Thin,008.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\008.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\008.png
HZ-135,Thin,009.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\009.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\009.png
HZ-135,Thin,010.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\010.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\010.png
HZ-135,Thin,011.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\011.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\011.png
HZ-135,Thin,012.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\012.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\012.png
HZ-135,Thin,013.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\013.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\013.png
HZ-135,Thin,014.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\014.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\014.png
HZ-135,Thin,015.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\015.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\015.png
HZ-135,Thin,016.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\016.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\016.png
HZ-135,Thin,017.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\017.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\017.png
HZ-135,Thin,018.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\018.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\018.png
HZ-135,Thin,019.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\019.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\019.png
HZ-135,Thin,020.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\020.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\020.png
HZ-135,Thin,021.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\021.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\021.png
HZ-135,Thin,022.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\022.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\022.png
HZ-135,Thin,023.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\023.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\023.png
HZ-135,Thin,024.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\024.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\024.png
HZ-135,Thin,025.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\025.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\025.png
HZ-135,Thin,026.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\026.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\026.png
HZ-135,Thin,027.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\027.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\027.png
HZ-135,Thin,028.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\028.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\028.png
HZ-135,Thin,029.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\029.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\029.png
HZ-135,Thin,030.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\030.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\030.png
HZ-135,Thin,031.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\031.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\031.png
HZ-135,Thin,032.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\032.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\032.png
HZ-135,Thin,033.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\033.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\033.png
HZ-135,Thin,034.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\034.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\034.png
HZ-135,Thin,035.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\035.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\035.png
HZ-135,Thin,036.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\036.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\036.png
HZ-135,Thin,037.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\037.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\037.png
HZ-135,Thin,038.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\038.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\038.png
HZ-135,Thin,039.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\039.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\039.png
HZ-135,Thin,040.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\040.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\040.png
HZ-135,Thin,041.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\041.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\041.png
HZ-135,Thin,042.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\042.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\042.png
HZ-135,Thin,043.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\043.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\043.png
HZ-135,Thin,044.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\044.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\044.png
HZ-135,Thin,045.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\045.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\target\045.png
HZ-135,Moderate,001.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\001.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\001.png
HZ-135,Moderate,002.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\002.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\002.png
HZ-135,Moderate,003.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\003.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\003.png
HZ-135,Moderate,004.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\004.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\004.png
HZ-135,Moderate,005.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\005.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\005.png
HZ-135,Moderate,006.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\006.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\006.png
HZ-135,Moderate,007.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\007.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\007.png
HZ-135,Moderate,008.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\008.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\008.png
HZ-135,Moderate,009.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\009.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\009.png
HZ-135,Moderate,010.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\010.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\010.png
HZ-135,Moderate,011.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\011.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\011.png
HZ-135,Moderate,012.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\012.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\012.png
HZ-135,Moderate,013.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\013.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\013.png
HZ-135,Moderate,014.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\014.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\014.png
HZ-135,Moderate,015.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\015.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\015.png
HZ-135,Moderate,016.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\016.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\016.png
HZ-135,Moderate,017.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\017.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\017.png
HZ-135,Moderate,018.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\018.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\018.png
HZ-135,Moderate,019.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\019.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\019.png
HZ-135,Moderate,020.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\020.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\020.png
HZ-135,Moderate,021.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\021.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\021.png
HZ-135,Moderate,022.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\022.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\022.png
HZ-135,Moderate,023.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\023.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\023.png
HZ-135,Moderate,024.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\024.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\024.png
HZ-135,Moderate,025.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\025.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\025.png
HZ-135,Moderate,026.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\026.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\026.png
HZ-135,Moderate,027.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\027.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\027.png
HZ-135,Moderate,028.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\028.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\028.png
HZ-135,Moderate,029.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\029.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\029.png
HZ-135,Moderate,030.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\030.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\030.png
HZ-135,Moderate,031.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\031.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\031.png
HZ-135,Moderate,032.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\032.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\032.png
HZ-135,Moderate,033.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\033.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\033.png
HZ-135,Moderate,034.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\034.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\034.png
HZ-135,Moderate,035.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\035.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\035.png
HZ-135,Moderate,036.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\036.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\036.png
HZ-135,Moderate,037.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\037.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\037.png
HZ-135,Moderate,038.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\038.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\038.png
HZ-135,Moderate,039.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\039.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\039.png
HZ-135,Moderate,040.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\040.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\040.png
HZ-135,Moderate,041.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\041.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\041.png
HZ-135,Moderate,042.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\042.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\042.png
HZ-135,Moderate,043.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\043.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\043.png
HZ-135,Moderate,044.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\044.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\044.png
HZ-135,Moderate,045.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\input\045.png,D:\www\riset\dehazing\dataset\haze1k\test_moderate\target\045.png
HZ-135,Thick,001.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\001.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\001.png
HZ-135,Thick,002.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\002.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\002.png
HZ-135,Thick,003.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\003.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\003.png
HZ-135,Thick,004.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\004.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\004.png
HZ-135,Thick,005.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\005.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\005.png
HZ-135,Thick,006.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\006.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\006.png
HZ-135,Thick,007.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\007.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\007.png
HZ-135,Thick,008.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\008.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\008.png
HZ-135,Thick,009.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\009.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\009.png
HZ-135,Thick,010.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\010.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\010.png
HZ-135,Thick,011.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\011.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\011.png
HZ-135,Thick,012.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\012.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\012.png
HZ-135,Thick,013.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\013.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\013.png
HZ-135,Thick,014.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\014.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\014.png
HZ-135,Thick,015.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\015.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\015.png
HZ-135,Thick,016.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\016.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\016.png
HZ-135,Thick,017.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\017.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\017.png
HZ-135,Thick,018.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\018.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\018.png
HZ-135,Thick,019.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\019.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\019.png
HZ-135,Thick,020.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\020.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\020.png
HZ-135,Thick,021.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\021.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\021.png
HZ-135,Thick,022.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\022.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\022.png
HZ-135,Thick,023.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\023.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\023.png
HZ-135,Thick,024.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\024.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\024.png
HZ-135,Thick,025.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\025.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\025.png
HZ-135,Thick,026.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\026.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\026.png
HZ-135,Thick,027.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\027.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\027.png
HZ-135,Thick,028.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\028.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\028.png
HZ-135,Thick,029.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\029.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\029.png
HZ-135,Thick,030.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\input\030.png,D:\www\riset\dehazing\dataset\haze1k\test_thick\target\030.png
