dataset,category,image_id,image_path,haze_score,brightness,local_contrast,hist_entropy,edge_density_diff,retinex_mean,color_skew,colorfulness,gradient_entropy,hue_spread,hf_energy_fft,hf_energy_wavelet,best_label
HZ-135,Thin,001.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\001.png,0.4414480030536651,0.7281527051738664,36.36347684081902,7.159016,0.2692108154296875,-0.0191308297216892,-0.3998412438644551,12.79023551940918,7.800469398498535,0.1669515480662194,2.98125958442688,0.1168967634439468,H-EDCP-B-GC
HZ-135,Thin,002.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\002.png,0.4861101806163788,0.7530282862046186,32.326236035104706,6.9952426,0.2411308288574218,-0.0134857902303338,-0.308501146914492,12.358407974243164,7.738072872161865,0.1837816850068116,2.917461395263672,0.1044627726078033,H-EDCP-A
HZ-135,Thin,003.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\003.png,0.4017970561981201,0.6734788832321666,34.00925214419915,7.0592775,0.2230606079101562,-0.0205735322088003,-0.0114673345797974,12.819721221923828,7.69666862487793,0.0980604511316588,2.9662272930145264,0.1124123334884643,H-EDCP-B-GC
HZ-135,Thin,004.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\004.png,0.4462847411632538,0.7224557515063318,34.63534648866211,7.075575,0.2229194641113281,-0.0206733886152505,-0.6510129566425543,12.895689964294434,7.70356559753418,0.1683318387040283,3.012783527374268,0.1127806007862091,H-EDCP-B-GC
HZ-135,Thin,005.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\005.png,0.5012369155883789,0.7624752618128958,36.33619655282917,7.082706,0.1844482421875,-0.0189477540552616,-0.7424617470845624,13.970558166503906,7.589648246765137,0.1159440080528372,2.8532540798187256,0.0925238505005836,H-EDCP-A
HZ-135,Thin,006.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\006.png,0.4060896039009094,0.6952290453941994,36.698108942861474,7.17755,0.2310104370117187,-0.0243723522871732,-0.4557664541966931,12.976266860961914,7.727905750274658,0.1532952897868178,3.0591957569122314,0.1188735589385032,H-EDCP-A
HZ-135,Thin,007.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\007.png,0.4454330801963806,0.7283740872651143,34.99084328313716,7.1021943,0.2358474731445312,-0.0203737933188676,-0.5242289446601657,12.844922065734863,7.74221658706665,0.1694684652715913,2.9716334342956543,0.1115073263645172,H-EDCP-B-GC
HZ-135,Thin,008.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\008.png,0.4688045382499695,0.743663014929279,35.35415936636979,7.1035156,0.2405548095703125,-0.0188274271786212,-0.5697206891580713,12.63205909729004,7.740376949310303,0.1675934732947064,2.920980930328369,0.1074182093143463,H-EDCP-B-GC
HZ-135,Thin,009.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\009.png,0.4829192459583282,0.75356504153582,37.091063683123416,7.1298585,0.1940383911132812,-0.0202445033937692,-0.6647888009553699,14.185245513916016,7.629175186157227,0.1155226301382125,2.895281791687012,0.0973718017339706,H-EDCP-C-AGC
HZ-135,Thin,010.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\010.png,0.5255026817321777,0.7743718215842652,34.930748731907386,7.012414,0.1734085083007812,-0.0169172566384077,-0.8140947453492932,13.601799011230469,7.547386646270752,0.1086869872612371,2.815117597579956,0.0885984823107719,H-EDCP-A
HZ-135,Thin,011.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\011.png,0.3952336609363556,0.6714887980542151,35.6311369050934,7.108487,0.2281608581542968,-0.0225991364568471,-0.0348718394989367,12.655662536621094,7.717556476593018,0.0926381803355672,2.9905924797058105,0.1145897656679153,H-EDCP-C-GC
HZ-135,Thin,012.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\012.png,0.487170398235321,0.7519107893401501,36.79514734577622,7.1185207,0.1797828674316406,-0.0204397868365049,-0.7077635339985577,14.659534454345703,7.575675010681152,0.1387762245115787,2.8584792613983154,0.0933631062507629,H-EDCP-A
HZ-135,Thin,013.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\013.png,0.5193840265274048,0.7708735098246655,35.398733761734505,7.035327,0.1761093139648437,-0.0173346493393182,-0.793967674845339,13.65872573852539,7.563493728637695,0.1120222553336631,2.8274383544921875,0.0901058614253997,H-EDCP-A
HZ-135,Thin,014.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\014.png,0.424356073141098,0.716483311871298,36.15738071065894,7.1509495,0.2224617004394531,-0.0208697840571403,-0.2289193418319698,14.361952781677246,7.710351467132568,0.1173089034212096,2.968996047973633,0.1084466129541397,H-EDCP-B-GC
HZ-135,Thin,015.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\015.png,0.4366402626037597,0.7276486365623723,36.23762984116523,7.154324,0.2734756469726562,-0.0190791394561529,-0.3814106517159901,12.986427307128906,7.809934139251709,0.1712710975358725,2.9923887252807617,0.1182927340269088,H-EDCP-C-AGC
HZ-135,Thin,016.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\016.png,0.4307661354541778,0.719540958778531,34.04830942283366,7.0691195,0.22271728515625,-0.0182423200458288,-0.2396599366323784,13.202695846557615,7.693628787994385,0.1179515084208349,2.9788713455200195,0.1067146658897399,H-EDCP-B-GC
HZ-135,Thin,017.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\017.png,0.5047172904014587,0.750468355066636,28.98292984171205,6.8621783,0.2241172790527343,-0.0114610577002167,-0.2971163008134856,11.372920989990234,7.673214912414551,0.1574173081967678,2.8269906044006348,0.0990479364991188,H-EDCP-C-GC
HZ-135,Thin,018.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\018.png,0.4821079075336456,0.7516233855602787,37.027096503564856,7.115948,0.1972846984863281,-0.0212138313800096,-0.7894371554890688,13.402143478393556,7.63558292388916,0.1479289562490135,2.919440031051636,0.1007593795657157,H-EDCP-A
HZ-135,Thin,019.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\019.png,0.4436210095882416,0.743742575053296,36.833815303468334,7.146111,0.2215652465820312,-0.0210312288254499,-0.4281315343607685,15.317965507507324,7.704835414886475,0.1103915311866386,2.9640681743621826,0.1058396771550178,H-EDCP-B-GC
HZ-135,Thin,020.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\020.png,0.4132949411869049,0.6869220958036535,37.5573457442112,7.2075815,0.1977653503417968,-0.0259194169193506,-0.3545581666992728,13.68960189819336,7.640955448150635,0.1460997504688695,2.95794939994812,0.1042622923851013,H-EDCP-A
HZ-135,Thin,021.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\021.png,0.4306734204292297,0.7146627937267029,36.42425306709068,7.140342,0.2181854248046875,-0.0237066596746444,-0.6208660862603369,13.592031478881836,7.705285549163818,0.155216988556122,3.0349011421203613,0.1135256737470626,H-EDCP-A
HZ-135,Thin,022.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\022.png,0.39435875415802,0.6881375680561939,36.55613689781034,7.1799445,0.2400703430175781,-0.0245496127754449,-0.4219178764077052,13.110822677612305,7.749307155609131,0.1571146501122604,3.0687875747680664,0.1214278489351272,H-EDCP-A
HZ-135,Thin,023.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\023.png,0.5137958526611328,0.7696552800197227,30.023167852738712,6.884232,0.2230072021484375,-0.0118879126384854,-0.3452716347594687,12.40766716003418,7.691396713256836,0.1780454859155412,2.865840435028076,0.0977601185441017,H-EDCP-A
HZ-135,Thin,024.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\024.png,0.4264210164546966,0.7109732833563113,36.05492956237342,7.1320553,0.2272720336914062,-0.0235691275447607,-0.6459414645898244,13.077554702758787,7.720468044281006,0.1610523643519631,3.051780462265014,0.1165903061628341,H-EDCP-B-GC
HZ-135,Thin,025.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\025.png,0.5118784308433533,0.7499164705962138,28.719206994822105,6.856221,0.2090072631835937,-0.0107955271378159,-0.2414169942055602,10.972626686096191,7.6251349449157715,0.1536553498766368,2.7996835708618164,0.0938476473093032,H-EDCP-C-GC
HZ-135,Thin,026.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\026.png,0.4215869605541229,0.7089980929505592,36.18746511925833,7.1454096,0.2210845947265625,-0.0212291777133941,-0.1332943044404841,14.000633239746094,7.705005168914795,0.1113066055747244,2.96213960647583,0.1088555604219436,H-EDCP-B-GC
HZ-135,Thin,027.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\027.png,0.4853173196315765,0.7511316237106822,32.36873186749574,6.997939,0.2418861389160156,-0.0136160450056195,-0.2997747233418692,12.291723251342772,7.740645408630371,0.1823157270569199,2.918670177459717,0.1051274836063385,H-EDCP-A
HZ-135,Thin,028.png,D:\www\riset\dehazing\dataset\haze1k\test_thin\input\028.png,0.440227210521698,0.7076857273874719,36.79529686016899,7.171349,0.1928253173828125,-0.0226844269782304,-0.5141525232997947,13.655206680297852,7.619767665863037,0.1489266025441467,2.9715492725372314,0.1039125546813011,H-EDCP-A
