dataset,category,image_id,image_path,haze_score,brightness,local_contrast,hist_entropy,edge_density_diff,retinex_mean,color_skew,colorfulness,gradient_entropy,hue_spread,hf_energy_fft,hf_energy_wavelet
HZ-900,Train,001.png,D:\www\riset\dehazing\dataset\haze1k\train\input\001.png,0.7607706785202026,0.8795855254129648,18.888594709241538,6.1050787,0.02777099609375,-0.0026690333615988493,-0.9463895835199218,6.669078350067139,6.574944019317627,0.032997782561803565,2.089714527130127,0.037606630474328995
HZ-900,Train,002.png,D:\www\riset\dehazing\dataset\haze1k\train\input\002.png,0.6403118968009949,0.8055119184107562,26.4024897184369,6.6860824,0.09136581420898438,-0.008051346056163311,-0.6235777907768325,8.702221870422363,7.077921390533447,0.050543939084067714,2.491978168487549,0.058264732360839844
HZ-900,Train,003.png,D:\www\riset\dehazing\dataset\haze1k\train\input\003.png,0.7287423610687256,0.8662051331763174,20.208710049520185,6.242736,0.06595611572265625,-0.003807671135291457,-0.7366571590007167,7.308895111083984,6.810014247894287,0.03983772105910859,2.308704376220703,0.0465068444609642
HZ-900,Train,004.png,D:\www\riset\dehazing\dataset\haze1k\train\input\004.png,0.7715147733688354,0.8804312712226817,18.12127208573099,5.9444556,0.032970428466796875,-0.0033104950562119484,-1.5608384711505197,6.845592498779297,6.418715476989746,0.09138766994754359,2.123117685317993,0.034490521997213364
HZ-900,Train,005.png,D:\www\riset\dehazing\dataset\haze1k\train\input\005.png,0.7300626635551453,0.8583658854166667,18.11277043476699,6.12563,0.042942047119140625,-0.0034256356302648783,-0.7300170633299775,8.603878021240234,6.615566730499268,0.03459180742533432,2.221698045730591,0.04210734739899635
HZ-900,Train,006.png,D:\www\riset\dehazing\dataset\haze1k\train\input\006.png,0.7565457224845886,0.8809512668185764,16.387011468370904,5.938959,0.03919219970703125,-0.0027147326618433,-0.9822601354656126,6.9436140060424805,6.608147621154785,0.035617656865799034,2.1779284477233887,0.040901899337768555
HZ-900,Train,007.png,D:\www\riset\dehazing\dataset\haze1k\train\input\007.png,0.7770376205444336,0.8826978097554126,17.700996484990583,5.906915,0.031047821044921875,-0.0031666543800383806,-1.5432842446538597,6.441721439361572,6.3765716552734375,0.07842432167846311,2.0877761840820312,0.033268917351961136
HZ-900,Train,008.png,D:\www\riset\dehazing\dataset\haze1k\train\input\008.png,0.7544304728507996,0.8795353958030152,16.88096545307991,5.9553385,0.043338775634765625,-0.0028804901521652937,-1.24802655299525,6.973335266113281,6.614899635314941,0.03688459182060487,2.1858842372894287,0.03988282382488251
HZ-900,Train,009.png,D:\www\riset\dehazing\dataset\haze1k\train\input\009.png,0.7485343813896179,0.8668909559062883,18.83010982778031,6.146437,0.0349884033203125,-0.003699718741700053,-0.8738070516566628,8.785694122314453,6.460769176483154,0.04507436113902383,2.0821173191070557,0.035537779331207275
HZ-900,Train,010.png,D:\www\riset\dehazing\dataset\haze1k\train\input\010.png,0.714544415473938,0.85783002267476,22.625991632187414,6.357295,0.0576629638671875,-0.005176713224500418,-0.8605774645320237,8.963533401489258,6.781717777252197,0.04088536807896895,2.270859479904175,0.04418657720088959
HZ-900,Train,011.png,D:\www\riset\dehazing\dataset\haze1k\train\input\011.png,0.7011753916740417,0.8569466684378829,24.42035809935689,6.4261184,0.07334136962890625,-0.005816675256937742,-0.9179712438393359,8.908844947814941,6.896678924560547,0.04481489424337377,2.3655760288238525,0.04863786697387695
HZ-900,Train,012.png,D:\www\riset\dehazing\dataset\haze1k\train\input\012.png,0.7338224649429321,0.8674516416063496,21.509428925538764,6.2731686,0.049549102783203125,-0.0048162671737372875,-0.9661011746893248,9.595179557800293,6.634976863861084,0.041156344300241815,2.2215683460235596,0.03987755998969078
HZ-900,Train,013.png,D:\www\riset\dehazing\dataset\haze1k\train\input\013.png,0.6348899602890015,0.8037948558533113,26.01058030904314,6.6790195,0.0965118408203125,-0.007606521714478731,-0.5356548997461003,8.781482696533203,7.112001419067383,0.05382559457816833,2.501455783843994,0.058937881141901016
