dataset,category,image_id,image_path,haze_score,brightness,local_contrast,hist_entropy,edge_density_diff,retinex_mean,color_skew,colorfulness,gradient_entropy,hue_spread,hf_energy_fft,hf_energy_wavelet
RR,thin_fog,1023.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1023.png,0.35288944840431213,0.391105721666922,11.069221942922097,4.707097,0.0008697509765625,-0.004726289305835962,2.636385037583677,5.152400970458984,4.831890106201172,0.3864637493381833,0.9549009799957275,0.013129261322319508
RR,thin_fog,1035.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1035.png,0.42397695779800415,0.4931218963822508,9.161666535344251,5.0710616,0.0025482177734375,-0.0027625865768641233,2.027123055959233,4.746099472045898,5.9699788093566895,0.3607912301812915,1.0343425273895264,0.023953434079885483
RR,thin_fog,1075.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1075.png,0.4201204180717468,0.4957000333499285,10.69288866775095,5.251152,0.0052642822265625,-0.003851901739835739,1.8750818435397463,6.579579830169678,6.082123756408691,0.2588288279884677,1.0550785064697266,0.024857591837644577
RR,thin_fog,1230.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1230.png,0.3921133875846863,0.45328311296849466,14.340392619258644,5.2766457,0.0023651123046875,-0.007629879284650087,2.981817143221105,7.543925762176514,5.581736087799072,0.41408956458681173,1.023285984992981,0.01806246116757393
RR,thin_fog,1291.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1291.png,0.40579965710639954,0.4647998286228554,14.866040445946183,5.6728997,0.0015869140625,-0.005759609863162041,1.4076161745874707,6.825563430786133,5.541337013244629,0.4406334522189362,0.9987772703170776,0.017270918935537338
RR,thin_fog,1292.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1292.png,0.4058646857738495,0.46989297305836397,13.795200182853266,5.692789,0.0016937255859375,-0.005122699309140444,0.7245895221136575,6.857466697692871,5.798064231872559,0.421875299419616,1.020120620727539,0.020581897348165512
RR,thin_fog,1295.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1295.png,0.4132891595363617,0.49095722273284315,21.1982287095914,6.057269,0.0100860595703125,-0.011923771351575851,1.2614150387311363,9.85162353515625,6.068220615386963,0.3249012513852957,1.13407564163208,0.02444063499569893
RR,thin_fog,130.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\130.png,0.3671746850013733,0.5047012229370915,16.867887816122728,6.0691633,0.044097900390625,-0.00971943885087967,0.47559755324185043,15.49370288848877,6.80026912689209,0.10837086336567761,1.307655930519104,0.04051932692527771
RR,thin_fog,1422.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1422.png,0.3835281729698181,0.4687281789343341,11.382857178840174,5.4311457,0.011322021484375,-0.004580255597829819,1.184917533738188,6.365901470184326,6.3229498863220215,0.29685653371845316,1.1622812747955322,0.029881738126277924
RR,thin_fog,1432.png,D:\www\riset\dehazing\dataset\RRSHID\thin_fog\test\hazy\1432.png,0.3798280358314514,0.4623807221456291,12.41834302994523,5.52404,0.0059051513671875,-0.005102007184177637,1.410840561172863,8.20608139038086,6.225633144378662,0.3074987509900511,1.1430842876434326,0.028358250856399536
