dataset,category,image_id,filename,method,psnr,ssim,time
RR,thin_fog,1023.png,1023.png,H-EDCP-A,19.135168075561523,0.675301142585215,0.015209200006211177
RR,thin_fog,1023.png,1023.png,H-EDCP-B-GC,20.11880874633789,0.7487875383673868,0.018733999982941896
RR,thin_fog,1023.png,1023.png,H-EDCP-C-GC,20.182106018066406,0.7438964389677684,0.015507200005231425
RR,thin_fog,1023.png,1023.png,H-EDCP-C-AGC,18.590356826782227,0.6731295596727759,0.015124400000786409
RR,thin_fog,1035.png,1035.png,H-EDCP-A,12.419862747192383,0.3429164528338869,0.014427100017201155
RR,thin_fog,1035.png,1035.png,H-EDCP-B-GC,13.312240600585938,0.36324188041866745,0.01469310000538826
RR,thin_fog,1035.png,1035.png,H-EDCP-C-GC,13.333086013793945,0.35850130329681457,0.014624200004618615
RR,thin_fog,1035.png,1035.png,H-EDCP-C-AGC,13.64625358581543,0.3574800515360785,0.014157099998556077
RR,thin_fog,1075.png,1075.png,H-EDCP-A,15.732383728027344,0.506480509563637,0.015406599995912984
RR,thin_fog,1075.png,1075.png,H-EDCP-B-GC,17.16208267211914,0.5402320600519828,0.013764800009084865
RR,thin_fog,1075.png,1075.png,H-EDCP-C-GC,17.193078994750977,0.5354617307089916,0.014614799991250038
RR,thin_fog,1075.png,1075.png,H-EDCP-C-AGC,16.93332862854004,0.4880237258111108,0.013342499994905666
RR,thin_fog,1230.png,1230.png,H-EDCP-A,17.402746200561523,0.6121370652698976,0.020704900001874194
RR,thin_fog,1230.png,1230.png,H-EDCP-B-GC,18.783260345458984,0.6596354223341341,0.017239099979633465
RR,thin_fog,1230.png,1230.png,H-EDCP-C-GC,18.80548095703125,0.6563743955712781,0.01656560000265017
RR,thin_fog,1230.png,1230.png,H-EDCP-C-AGC,17.765085220336914,0.610736216395915,0.014936999999918044
RR,thin_fog,1291.png,1291.png,H-EDCP-A,20.45797348022461,0.681057705086305,0.013838699989719316
RR,thin_fog,1291.png,1291.png,H-EDCP-B-GC,21.972923278808594,0.7233922093950994,0.01427980000153184
RR,thin_fog,1291.png,1291.png,H-EDCP-C-GC,21.978342056274414,0.7164382027963642,0.015948999993270263
RR,thin_fog,1291.png,1291.png,H-EDCP-C-AGC,19.11832618713379,0.6069449845794681,0.014075699989916757
RR,thin_fog,1292.png,1292.png,H-EDCP-A,20.19061851501465,0.6217426773303173,0.0145702000008896
RR,thin_fog,1292.png,1292.png,H-EDCP-B-GC,21.7723445892334,0.6593881640018653,0.01417020001099445
RR,thin_fog,1292.png,1292.png,H-EDCP-C-GC,21.776487350463867,0.6532547287563528,0.014557999995304272
RR,thin_fog,1292.png,1292.png,H-EDCP-C-AGC,18.045734405517578,0.5310990886060302,0.013862699997844175
RR,thin_fog,1295.png,1295.png,H-EDCP-A,20.24510955810547,0.6105455942491224,0.014553599990904331
RR,thin_fog,1295.png,1295.png,H-EDCP-B-GC,19.224735260009766,0.6068279402501695,0.014318600005935878
RR,thin_fog,1295.png,1295.png,H-EDCP-C-GC,19.072521209716797,0.6021900941020378,0.014030999998794869
RR,thin_fog,1295.png,1295.png,H-EDCP-C-AGC,19.96291732788086,0.5559067420035118,0.013593400013633072
RR,thin_fog,130.png,130.png,H-EDCP-A,20.11566925048828,0.5403509272721447,0.014740300015546381
RR,thin_fog,130.png,130.png,H-EDCP-B-GC,20.347049713134766,0.5417936704088584,0.014277500013122335
RR,thin_fog,130.png,130.png,H-EDCP-C-GC,20.19904899597168,0.5367364720077039,0.013405100005911663
RR,thin_fog,130.png,130.png,H-EDCP-C-AGC,18.249727249145508,0.4729363409830556,0.0135152000002563
RR,thin_fog,1422.png,1422.png,H-EDCP-A,16.881309509277344,0.49053591279251363,0.013746899989200756
RR,thin_fog,1422.png,1422.png,H-EDCP-B-GC,18.301607131958008,0.5140210502451882,0.013669900014065206
RR,thin_fog,1422.png,1422.png,H-EDCP-C-GC,18.325122833251953,0.5087225528131972,0.013479299988830462
RR,thin_fog,1422.png,1422.png,H-EDCP-C-AGC,16.513519287109375,0.43867253321102256,0.014322299975901842
RR,thin_fog,1432.png,1432.png,H-EDCP-A,17.648483276367188,0.4647875552890258,0.014259700023103505
RR,thin_fog,1432.png,1432.png,H-EDCP-B-GC,19.177927017211914,0.49717084578421733,0.015442100004293025
RR,thin_fog,1432.png,1432.png,H-EDCP-C-GC,19.168180465698242,0.4907501516952631,0.013410799991106614
RR,thin_fog,1432.png,1432.png,H-EDCP-C-AGC,15.308927536010742,0.33520488357164613,0.013830599986249581
RR,thin_fog,1571.png,1571.png,H-EDCP-A,19.063974380493164,0.6475980414805418,0.021287099982146174
RR,thin_fog,1571.png,1571.png,H-EDCP-B-GC,20.046218872070312,0.6712951946029407,0.019604100001743063
RR,thin_fog,1571.png,1571.png,H-EDCP-C-GC,19.931066513061523,0.6601247269545728,0.018329499987885356
RR,thin_fog,1571.png,1571.png,H-EDCP-C-AGC,18.54632568359375,0.5495010313398961,0.01686939998762682
RR,thin_fog,1615.png,1615.png,H-EDCP-A,16.996278762817383,0.536176835871129,0.025305399991339073
RR,thin_fog,1615.png,1615.png,H-EDCP-B-GC,16.465824127197266,0.530242991854955,0.022032000008039176
RR,thin_fog,1615.png,1615.png,H-EDCP-C-GC,16.367347717285156,0.5165022148230177,0.020049399987328798
RR,thin_fog,1615.png,1615.png,H-EDCP-C-AGC,16.760759353637695,0.4864003456476557,0.045918599993456155
RR,thin_fog,1738.png,1738.png,H-EDCP-A,19.16899871826172,0.6248211020573167,0.016691999975591898
RR,thin_fog,1738.png,1738.png,H-EDCP-B-GC,19.53069496154785,0.6300820538688474,0.01696409998112358
RR,thin_fog,1738.png,1738.png,H-EDCP-C-GC,19.373371124267578,0.6281985256517741,0.016771099995821714
RR,thin_fog,1738.png,1738.png,H-EDCP-C-AGC,14.8885498046875,0.4916251112352009,0.015868599992245436
RR,thin_fog,1744.png,1744.png,H-EDCP-A,14.017134666442871,0.5738395099152312,0.016313100000843406
RR,thin_fog,1744.png,1744.png,H-EDCP-B-GC,13.096198081970215,0.5386666304201155,0.017090999986976385
